timestamp,hour,day_of_week,temperature,rain,traffic_index,taxi_demand
2026-02-12 00:00:00,0,3,25.10648464789186,0,63.03571255194539,71
2026-02-12 01:00:00,1,3,33.02853334589264,1,54.92420786745341,77
2026-02-12 02:00:00,2,3,30.344579852104914,0,67.86828088046435,74
2026-02-12 03:00:00,3,3,28.09009496018637,0,71.86197598735839,76
2026-02-12 04:00:00,4,3,25.704258052112003,1,47.413284304236015,70
2026-02-12 05:00:00,5,3,26.123562194203256,1,48.50650189591012,67
2026-02-12 06:00:00,6,3,37.199248383143704,0,43.16305613911015,67
2026-02-12 07:00:00,7,3,29.00273127582993,0,78.00236840110763,104
2026-02-12 08:00:00,8,3,32.12852000612584,0,61.829975257421026,97
2026-02-12 09:00:00,9,3,25.836402473329787,0,24.993383972484338,84
2026-02-12 10:00:00,10,3,25.880588215113445,0,71.7775773987811,80
2026-02-12 11:00:00,11,3,33.32793923699977,0,48.83359645017609,66
2026-02-12 12:00:00,12,3,23.60169515379387,0,24.12523438534925,63
2026-02-12 13:00:00,13,3,27.339144928378914,0,52.983035309798666,64
2026-02-12 14:00:00,14,3,29.13610964428893,0,45.02985673854212,63
2026-02-12 15:00:00,15,3,29.44549040736021,0,72.66496429175749,74
2026-02-12 16:00:00,16,3,28.283626859935374,0,32.23967621656324,68
2026-02-12 17:00:00,17,3,30.583279124383694,0,69.58787656953098,107
2026-02-12 18:00:00,18,3,31.771423023271247,0,53.461321471127164,98
2026-02-12 19:00:00,19,3,31.93855018183732,0,23.276618192808144,89
2026-02-12 20:00:00,20,3,25.056784765328693,0,78.31071807952908,101
2026-02-12 21:00:00,21,3,27.863379608284813,0,50.756914646191994,72
2026-02-12 22:00:00,22,3,33.779051447507754,1,37.45261125389495,69
2026-02-12 23:00:00,23,3,32.57858875029549,0,48.164410519355485,73
2026-02-13 00:00:00,0,4,23.508562194075743,1,71.47146701104934,83
2026-02-13 01:00:00,1,4,30.405919601408808,0,38.29418746310381,63
2026-02-13 02:00:00,2,4,21.087099002500757,0,31.56058378920202,65
2026-02-13 03:00:00,3,4,29.18773960824148,1,27.744274815852886,70
2026-02-13 04:00:00,4,4,36.59106806698391,0,37.87156390341268,61
2026-02-13 05:00:00,5,4,25.208429130924056,0,66.80288522240261,76
2026-02-13 06:00:00,6,4,25.66270781803367,0,48.2975819117157,64
2026-02-13 07:00:00,7,4,32.056119126291435,0,33.6488962216124,70
2026-02-13 08:00:00,8,4,22.828793939161415,0,29.971099976584952,82
2026-02-13 09:00:00,9,4,26.468979880459845,0,39.96376859062275,89
2026-02-13 10:00:00,10,4,31.38576455032701,0,76.39546237314252,81
2026-02-13 11:00:00,11,4,26.462856609242387,0,40.58160275540146,56
2026-02-13 12:00:00,12,4,28.056120051156114,1,79.28744455727812,84
2026-02-13 13:00:00,13,4,31.976742841260137,0,49.11382734592137,58
2026-02-13 14:00:00,14,4,30.686184334146244,0,30.749835097409054,69
2026-02-13 15:00:00,15,4,30.067273585181606,1,73.46840550761056,78
2026-02-13 16:00:00,16,4,27.643510882919845,0,47.62132238808961,75
2026-02-13 17:00:00,17,4,30.48024446107582,0,62.580280610271465,104
2026-02-13 18:00:00,18,4,28.505069279600974,0,79.0226949925491,102
2026-02-13 19:00:00,19,4,30.83122243970314,0,23.01052101919844,78
2026-02-13 20:00:00,20,4,27.012271899528088,0,25.80167358725403,87
2026-02-13 21:00:00,21,4,28.269724102481835,0,63.22740448776537,71
2026-02-13 22:00:00,22,4,25.040168829791945,1,36.90950019772832,70
2026-02-13 23:00:00,23,4,28.859969559975056,0,31.058083817005944,60
2026-02-14 00:00:00,0,5,25.75599654548462,0,22.36171278918377,50
2026-02-14 01:00:00,1,5,24.543814199352028,0,21.31080271917211,47
2026-02-14 02:00:00,2,5,30.034644591421554,0,66.46913618718744,77
2026-02-14 03:00:00,3,5,29.85095910343064,1,28.066005642173,63
2026-02-14 04:00:00,4,5,32.13149493979429,0,48.06323695826905,66
2026-02-14 05:00:00,5,5,27.275497721699605,0,56.35380891076898,76
2026-02-14 06:00:00,6,5,30.632211387347024,1,45.701108034130776,79
2026-02-14 07:00:00,7,5,31.203190289094653,0,21.626399140173987,77
2026-02-14 08:00:00,8,5,30.77909523132638,0,67.01009015527453,95
2026-02-14 09:00:00,9,5,25.697385268791432,0,20.63079347249921,80
2026-02-14 10:00:00,10,5,29.597453929084757,1,65.71339366264904,74
2026-02-14 11:00:00,11,5,30.456561184218646,0,73.59826962728737,80
2026-02-14 12:00:00,12,5,29.02871386763177,1,45.97039526343033,76
2026-02-14 13:00:00,13,5,20.654089366515663,0,52.13254838586789,74
2026-02-14 14:00:00,14,5,29.64195849589392,0,48.61900355705923,59
2026-02-14 15:00:00,15,5,37.850124157588965,1,43.35251711740633,68
2026-02-14 16:00:00,16,5,27.55984292497207,0,73.24547212222161,74
2026-02-14 17:00:00,17,5,26.087691608578716,0,73.63601064019943,104
2026-02-14 18:00:00,18,5,30.493394238845593,0,40.14898187849207,93
2026-02-14 19:00:00,19,5,30.249512841866288,0,56.90418524088188,105
2026-02-14 20:00:00,20,5,33.770940661665655,0,75.61445372875184,102
2026-02-14 21:00:00,21,5,23.96852737636445,0,77.7235099364811,78
2026-02-14 22:00:00,22,5,31.92552101029997,0,50.537542425322854,75
2026-02-14 23:00:00,23,5,31.361688245005855,0,47.1694883170596,70
2026-02-15 00:00:00,0,6,28.431413852237817,0,36.72165895571155,71
2026-02-15 01:00:00,1,6,30.35474927168676,0,77.5323123914246,82
2026-02-15 02:00:00,2,6,33.117829926393426,0,28.56885826837204,55
2026-02-15 03:00:00,3,6,32.4892615201138,1,54.7897745628635,70
2026-02-15 04:00:00,4,6,24.427922751705086,0,36.95301605111833,57
2026-02-15 05:00:00,5,6,32.28063274702194,0,36.7404974208678,68
2026-02-15 06:00:00,6,6,28.741245579869926,1,44.298115242571306,78
2026-02-15 07:00:00,7,6,29.29149639206206,0,79.92757614893927,111
2026-02-15 08:00:00,8,6,29.292787964006777,1,23.297978410389323,88
2026-02-15 09:00:00,9,6,28.39902804480696,0,54.71250909221189,97
2026-02-15 10:00:00,10,6,33.766829988428256,0,24.95432948211663,57
2026-02-15 11:00:00,11,6,28.665128160603153,0,29.27124979943114,55
2026-02-15 12:00:00,12,6,24.521815486467325,0,46.37377650637392,72
2026-02-15 13:00:00,13,6,27.425880576121084,0,50.62760788078648,72
2026-02-15 14:00:00,14,6,29.714778867241904,0,35.52754450187144,64
2026-02-15 15:00:00,15,6,33.916859137188204,0,38.987427852464975,67
2026-02-15 16:00:00,16,6,31.412378739795333,0,25.218021215355982,61
2026-02-15 17:00:00,17,6,25.597858885011824,0,38.19318703065503,96
2026-02-15 18:00:00,18,6,38.940759666715564,0,77.99350636283265,112
2026-02-15 19:00:00,19,6,30.05910124391192,0,76.6824429003489,108
2026-02-15 20:00:00,20,6,34.10156295199606,0,40.092697408219095,95
2026-02-15 21:00:00,21,6,28.393142265691083,1,54.2512361767257,79
2026-02-15 22:00:00,22,6,31.1334369788218,0,74.57572346665665,77
2026-02-15 23:00:00,23,6,32.357874018073616,1,20.3710293584538,66
2026-02-16 00:00:00,0,0,33.872778847017024,0,68.64101422025551,70
2026-02-16 01:00:00,1,0,33.2294732215129,0,76.90217316733515,86
2026-02-16 02:00:00,2,0,32.48878800029191,0,25.479544060013424,54
2026-02-16 03:00:00,3,0,27.739653075223565,0,29.686861161975262,63
2026-02-16 04:00:00,4,0,26.713015832175756,0,77.64477816628133,76
2026-02-16 05:00:00,5,0,30.33043004129679,0,52.25240861842078,73
2026-02-16 06:00:00,6,0,32.73251228936428,0,20.851798068303424,58
2026-02-16 07:00:00,7,0,28.10911719689357,0,35.45791992581175,76
